Comunidades y Ciudades Autónomas;Forma de conexión;Total
Extremadura;Conexión de banda ancha por red de cable o fibra óptica;3,7
Extremadura;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);14,2
Extremadura;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);8,1
Extremadura;Viviendas con conexión de banda estrecha;1,8
Extremadura;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,2
Extremadura;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,6
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;478.242
Galicia;Viviendas con conexión de banda ancha;98,3
Galicia;Conexión de banda ancha por ADSL;55,5
Galicia;Conexión de banda ancha por red de cable o fibra óptica;28,5
Galicia;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);18,7
Galicia;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);6,5
Galicia;Viviendas con conexión de banda estrecha;3,1
Galicia;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,9
Galicia;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,3
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.535.930
Madrid, Comunidad de;Viviendas con conexión de banda ancha;99,5
Madrid, Comunidad de;Conexión de banda ancha por ADSL;85,4
Madrid, Comunidad de;Conexión de banda ancha por red de cable o fibra óptica;10,4
Madrid, Comunidad de;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);8,8
Madrid, Comunidad de;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);6,7
Madrid, Comunidad de;Viviendas con conexión de banda estrecha;1,7
Madrid, Comunidad de;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,4
Madrid, Comunidad de;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,3
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;262.374
Murcia, Región de;Viviendas con conexión de banda ancha;99,7
Murcia, Región de;Conexión de banda ancha por ADSL;66,1
Murcia, Región de;Conexión de banda ancha por red de cable o fibra óptica;24,3
Murcia, Región de;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);23,3
Murcia, Región de;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);4,3
Murcia, Región de;Viviendas con conexión de banda estrecha;3,3
Murcia, Región de;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,3
Murcia, Región de;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);3,1
Navarra, Comunidad Foral de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;138.750
Navarra, Comunidad Foral de;Viviendas con conexión de banda ancha;97,8
Navarra, Comunidad Foral de;Conexión de banda ancha por ADSL;68,8
Navarra, Comunidad Foral de;Conexión de banda ancha por red de cable o fibra óptica;19,3
Navarra, Comunidad Foral de;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);14,8
Navarra, Comunidad Foral de;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);6,2
Navarra, Comunidad Foral de;Viviendas con conexión de banda estrecha;2,4
Navarra, Comunidad Foral de;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;2,0
Navarra, Comunidad Foral de;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,4
País Vasco;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;501.314
País Vasco;Viviendas con conexión de banda ancha;98,8
País Vasco;Conexión de banda ancha por ADSL;65,5
País Vasco;Conexión de banda ancha por red de cable o fibra óptica;27,6
País Vasco;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);15,0
País Vasco;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);7,6
País Vasco;Viviendas con conexión de banda estrecha;2,7
País Vasco;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,0
País Vasco;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,8
Rioja, La;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;61.559
Rioja, La;Viviendas con conexión de banda ancha;98,3
Rioja, La;Conexión de banda ancha por ADSL;69,5
Rioja, La;Conexión de banda ancha por red de cable o fibra óptica;17,7
Rioja, La;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);12,5
Rioja, La;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);9,6
Rioja, La;Viviendas con conexión de banda estrecha;2,4
Rioja, La;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;2,0
Rioja, La;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,7
Ceuta;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;14.805
Ceuta;Viviendas con conexión de banda ancha;98,4
Ceuta;Conexión de banda ancha por ADSL;93,3
Ceuta;Conexión de banda ancha por red de cable o fibra óptica;6,0
Ceuta;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);18,1
Ceuta;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);9,3
Ceuta;Viviendas con conexión de banda estrecha;3,5
Ceuta;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,6
