Clase de población;Comunidades y Ciudades Autónomas;Competencias digitales;Total
Usuarios de Internet en los últimos 3 meses;Aragón;COMPETENCIAS INFORMÁTICAS: Avanzada;47,5
Usuarios de Internet en los últimos 3 meses;Asturias, Principado de;HABILIDADES DIGITALES: Habilidad Avanzada;36,3
Usuarios de Internet en los últimos 3 meses;Asturias, Principado de;HABILIDADES DE INFORMACIÓN: Avanzada;81,6
Usuarios de Internet en los últimos 3 meses;Asturias, Principado de;HABILIDADES DE COMUNICACIÓN: Avanzada;69,3
Usuarios de Internet en los últimos 3 meses;Asturias, Principado de;HABILIDADES DE RESOLUCIÓN: Avanzada;61,8
Usuarios de Internet en los últimos 3 meses;Asturias, Principado de;COMPETENCIAS INFORMÁTICAS: Avanzada;47,2
Usuarios de Internet en los últimos 3 meses;Balears, Illes;HABILIDADES DIGITALES: Habilidad Avanzada;36,5
Usuarios de Internet en los últimos 3 meses;Balears, Illes;HABILIDADES DE INFORMACIÓN: Avanzada;81,6
Usuarios de Internet en los últimos 3 meses;Balears, Illes;HABILIDADES DE COMUNICACIÓN: Avanzada;74,6
Usuarios de Internet en los últimos 3 meses;Balears, Illes;HABILIDADES DE RESOLUCIÓN: Avanzada;60,3
Usuarios de Internet en los últimos 3 meses;Balears, Illes;COMPETENCIAS INFORMÁTICAS: Avanzada;44,3
Usuarios de Internet en los últimos 3 meses;Canarias;HABILIDADES DIGITALES: Habilidad Avanzada;33,1
Usuarios de Internet en los últimos 3 meses;Canarias;HABILIDADES DE INFORMACIÓN: Avanzada;79,8
Usuarios de Internet en los últimos 3 meses;Canarias;HABILIDADES DE COMUNICACIÓN: Avanzada;71,6
Usuarios de Internet en los últimos 3 meses;Canarias;HABILIDADES DE RESOLUCIÓN: Avanzada;56,5
Usuarios de Internet en los últimos 3 meses;Canarias;COMPETENCIAS INFORMÁTICAS: Avanzada;44,6
Usuarios de Internet en los últimos 3 meses;Cantabria;HABILIDADES DIGITALES: Habilidad Avanzada;42,4
Usuarios de Internet en los últimos 3 meses;Cantabria;HABILIDADES DE INFORMACIÓN: Avanzada;81,5
Usuarios de Internet en los últimos 3 meses;Cantabria;HABILIDADES DE COMUNICACIÓN: Avanzada;72,2
Usuarios de Internet en los últimos 3 meses;Cantabria;HABILIDADES DE RESOLUCIÓN: Avanzada;67,5
Usuarios de Internet en los últimos 3 meses;Cantabria;COMPETENCIAS INFORMÁTICAS: Avanzada;51,7
Usuarios de Internet en los últimos 3 meses;Castilla y León;HABILIDADES DIGITALES: Habilidad Avanzada;39,8
Usuarios de Internet en los últimos 3 meses;Castilla y León;HABILIDADES DE INFORMACIÓN: Avanzada;77,3
Usuarios de Internet en los últimos 3 meses;Castilla y León;HABILIDADES DE COMUNICACIÓN: Avanzada;71,2
Usuarios de Internet en los últimos 3 meses;Castilla y León;HABILIDADES DE RESOLUCIÓN: Avanzada;63,5
Usuarios de Internet en los últimos 3 meses;Castilla y León;COMPETENCIAS INFORMÁTICAS: Avanzada;48,7
Usuarios de Internet en los últimos 3 meses;Castilla-La Mancha;HABILIDADES DIGITALES: Habilidad Avanzada;33,2
Usuarios de Internet en los últimos 3 meses;Castilla-La Mancha;HABILIDADES DE INFORMACIÓN: Avanzada;77,9
Usuarios de Internet en los últimos 3 meses;Castilla-La Mancha;HABILIDADES DE COMUNICACIÓN: Avanzada;71,9
Usuarios de Internet en los últimos 3 meses;Castilla-La Mancha;HABILIDADES DE RESOLUCIÓN: Avanzada;57,0
Usuarios de Internet en los últimos 3 meses;Castilla-La Mancha;COMPETENCIAS INFORMÁTICAS: Avanzada;43,9
